Patient,Town
patient_22084,town_2
patient_18149,town_2
patient_3152,town_2
patient_10421,town_2
patient_73,town_2
patient_1438,town_2
patient_6088,town_2
patient_14944,town_2
patient_20162,town_2
patient_19597,town_2
patient_14387,town_2
patient_18920,town_2
patient_6667,town_2
patient_18522,town_2
patient_8945,town_2
patient_13851,town_2
patient_5075,town_2
patient_22090,town_2
patient_2360,town_2
patient_4638,town_2
patient_4671,town_2
patient_7660,town_2
patient_13222,town_2
patient_987,town_2
patient_8860,town_2
patient_3735,town_2
patient_15616,town_2
patient_3128,town_2
patient_16485,town_2
patient_9405,town_2
patient_4091,town_2
patient_14656,town_2
patient_21734,town_2
patient_350,town_2
patient_6421,town_2
patient_20903,town_2
patient_21473,town_2
patient_2374,town_2
patient_12500,town_2
patient_12580,town_2
patient_18297,town_2
patient_11663,town_2
patient_21783,town_2
patient_11545,town_2
patient_5089,town_2
patient_13235,town_2
patient_10224,town_2
patient_16128,town_2
patient_10673,town_2
patient_12674,town_2
patient_5937,town_2
patient_12915,town_2
patient_1832,town_2
patient_13965,town_2
patient_15038,town_2
patient_3845,town_2
patient_1829,town_2
patient_18530,town_2
patient_526,town_2
patient_7467,town_2
patient_15645,town_2
patient_3405,town_2
patient_21780,town_2
patient_9123,town_2
patient_8370,town_2
patient_1744,town_2
patient_14568,town_2
patient_17181,town_2
patient_15932,town_2
patient_14062,town_2
patient_10477,town_2
patient_7157,town_2
patient_5460,town_2
patient_11175,town_2
patient_6237,town_2
patient_18329,town_2
patient_18094,town_2
patient_9704,town_2
patient_9233,town_2
patient_17078,town_2
patient_10781,town_2
patient_16259,town_2
patient_19284,town_2
patient_13706,town_2
patient_4849,town_2
patient_21272,town_2
patient_14352,town_2
patient_21508,town_2
patient_1472,town_2
patient_1566,town_2
patient_8313,town_2
patient_7249,town_2
patient_18647,town_2
patient_19786,town_2
patient_19483,town_2
patient_5042,town_2
patient_11757,town_2
patient_17465,town_2
patient_583,town_2
patient_4027,town_2
patient_5513,town_2
patient_18582,town_2
patient_8976,town_2
patient_800,town_2
patient_18392,town_2
patient_21579,town_2
patient_19395,town_2
patient_21082,town_2
patient_13363,town_2
patient_17781,town_2
patient_21847,town_2
patient_2311,town_2
patient_8478,town_2
patient_14637,town_2
patient_4060,town_2
patient_16883,town_2
patient_22382,town_2
patient_18273,town_2
patient_19987,town_2
patient_10126,town_2
patient_11091,town_2
patient_7075,town_2
patient_11837,town_2
patient_2689,town_2
patient_11899,town_2
patient_21731,town_2
patient_9945,town_2
patient_22524,town_2
patient_5855,town_2
patient_7517,town_2
patient_8900,town_2
patient_16348,town_2
patient_11855,town_2
patient_14324,town_2
patient_9444,town_2
patient_10202,town_2
patient_9749,town_2
patient_7181,town_2
patient_8640,town_2
patient_1236,town_2
patient_19171,town_2
patient_18531,town_2
patient_9850,town_2
patient_14478,town_2
patient_5811,town_2
patient_21192,town_2
patient_7961,town_2
patient_11642,town_2
patient_7039,town_2
patient_208,town_2
patient_19001,town_2
patient_14469,town_2
patient_14031,town_2
patient_7852,town_2
patient_4273,town_2
patient_11529,town_2
patient_19651,town_2
patient_20065,town_2
patient_13651,town_2
patient_17808,town_2
patient_5732,town_2
patient_898,town_2
patient_5102,town_2
patient_8010,town_2
patient_10108,town_2
patient_21862,town_2
patient_14383,town_2
patient_9997,town_2
patient_18075,town_2
patient_2535,town_2
patient_7549,town_2
patient_8682,town_2
patient_9417,town_2
patient_2457,town_2
patient_20629,town_2
patient_4461,town_2
patient_15840,town_2
patient_15541,town_2
patient_1701,town_2
patient_7797,town_2
patient_660,town_2
patient_16363,town_2
patient_1910,town_2
patient_22212,town_2
patient_13267,town_2
patient_8346,town_2
patient_8707,town_2
patient_11285,town_2
patient_4803,town_2
patient_14375,town_2
patient_11796,town_2
patient_2039,town_2
patient_11667,town_2
patient_7089,town_2
patient_18865,town_2
patient_19869,town_2
patient_21639,town_2
patient_17408,town_2
patient_21194,town_2
patient_4454,town_2
patient_16059,town_2
patient_3307,town_2
patient_3869,town_2
patient_1655,town_2
patient_13672,town_2
patient_17227,town_2
patient_8841,town_2
patient_5382,town_2
patient_22011,town_2
patient_11202,town_2
patient_305,town_2
patient_1367,town_2
patient_5782,town_2
patient_14563,town_2
patient_11286,town_2
patient_15838,town_2
patient_594,town_2
patient_18048,town_2
patient_15315,town_2
patient_3005,town_2
patient_1519,town_2
patient_13783,town_2
patient_8583,town_2
patient_5280,town_2
patient_13785,town_2
patient_9683,town_2
patient_19013,town_2
patient_19045,town_2
patient_13433,town_2
patient_22231,town_2
patient_9047,town_2
patient_791,town_2
patient_9067,town_2
patient_14512,town_2
patient_6709,town_2
patient_10271,town_2
patient_10297,town_2
patient_6600,town_2
patient_8813,town_2
patient_11784,town_2
patient_8556,town_2
patient_12076,town_2
patient_421,town_2
patient_3887,town_2
patient_5002,town_2
patient_7303,town_2
patient_616,town_2
patient_8885,town_2
patient_3779,town_2
patient_15018,town_2
patient_7219,town_2
patient_15136,town_2
patient_13649,town_2
patient_18587,town_2
patient_6687,town_2
patient_10737,town_2
patient_14918,town_2
patient_19965,town_2
patient_6846,town_2
patient_9165,town_2
patient_10398,town_2
patient_16908,town_2
patient_13732,town_2
patient_15413,town_2
patient_7240,town_2
patient_9099,town_2
patient_317,town_2
patient_34,town_2
patient_20986,town_2
patient_7074,town_2
patient_11394,town_2
patient_20220,town_2
patient_3895,town_2
patient_1118,town_2
patient_15994,town_2
patient_14390,town_2
patient_2832,town_2
patient_4495,town_2
patient_10035,town_2
patient_22179,town_2
patient_12309,town_2
patient_6211,town_2
patient_13825,town_2
patient_13045,town_2
patient_4570,town_2
patient_2390,town_2
patient_2626,town_2
patient_7718,town_2
patient_19357,town_2
patient_20540,town_2
patient_1341,town_2
patient_15319,town_2
patient_9044,town_2
patient_19541,town_2
patient_6059,town_2
patient_15045,town_2
patient_15965,town_2
patient_4552,town_2
patient_14734,town_2
patient_11701,town_2
patient_8920,town_2
patient_12026,town_2
patient_17674,town_2
patient_4427,town_2
patient_12,town_2
patient_3217,town_2
patient_12077,town_2
patient_17474,town_2
patient_13997,town_2
patient_10525,town_2
patient_19456,town_2
patient_6880,town_2
patient_19866,town_2
patient_19989,town_2
patient_2076,town_2
patient_8267,town_2
patient_18986,town_2
patient_4767,town_2
patient_9094,town_2
patient_7300,town_2
patient_11265,town_2
patient_1016,town_2
patient_4535,town_2
patient_4446,town_2
patient_12757,town_2
patient_5236,town_2
patient_15764,town_2
patient_21619,town_2
patient_18089,town_2
patient_21241,town_2
patient_9539,town_2
patient_21552,town_2
patient_7204,town_2
patient_8996,town_2
patient_20357,town_2
patient_14090,town_2
patient_9253,town_2
patient_10446,town_2
patient_3757,town_2
patient_5924,town_2
patient_12683,town_2
patient_3865,town_2
patient_6505,town_2
patient_16142,town_2
patient_11238,town_2
patient_16515,town_2
patient_19617,town_2
patient_21557,town_2
patient_10338,town_2
patient_10151,town_2
patient_14632,town_2
patient_11838,town_2
patient_21456,town_2
patient_10940,town_2
patient_21279,town_2
patient_15975,town_2
patient_20226,town_2
patient_7138,town_2
patient_1819,town_2
patient_8316,town_2
patient_13562,town_2
patient_14099,town_2
patient_19750,town_2
patient_6386,town_2
patient_17135,town_2
patient_12846,town_2
patient_3413,town_2
patient_14868,town_2
patient_18894,town_2
patient_6116,town_2
patient_5780,town_2
patient_14277,town_2
patient_15938,town_2
patient_15164,town_2
patient_71,town_2
patient_7993,town_2
patient_21534,town_2
patient_13412,town_2
patient_2316,town_2
patient_21779,town_2
patient_22092,town_2
patient_17678,town_2
patient_16332,town_2
patient_14097,town_2
patient_13901,town_2
patient_3131,town_2
patient_6143,town_2
patient_13636,town_2
patient_15263,town_2
patient_4144,town_2
patient_2233,town_2
patient_2817,town_2
patient_4372,town_2
patient_5143,town_2
patient_10979,town_2
patient_6776,town_2
patient_16465,town_2
patient_3357,town_2
patient_7449,town_2
patient_20835,town_2
patient_7226,town_2
patient_10846,town_2
patient_17199,town_2
patient_16330,town_2
patient_13946,town_2
patient_18410,town_2
patient_8383,town_2
patient_12546,town_2
patient_597,town_2
patient_9258,town_2
patient_15937,town_2
patient_16483,town_2
patient_12415,town_2
patient_12338,town_2
patient_2621,town_2
patient_10415,town_2
patient_3750,town_2
patient_10491,town_2
patient_18441,town_2
patient_17617,town_2
patient_417,town_2
patient_21167,town_2
patient_12662,town_2
patient_19899,town_2
patient_16920,town_2
patient_7394,town_2
patient_20129,town_2
patient_10326,town_2
patient_6935,town_2
patient_16320,town_2
patient_803,town_2
patient_22124,town_2
patient_11785,town_2
patient_17579,town_2
patient_10517,town_2
patient_9990,town_2
patient_7670,town_2
patient_9030,town_2
patient_2518,town_2
patient_18919,town_2
patient_3367,town_2
patient_3509,town_2
patient_9412,town_2
patient_19379,town_2
patient_16256,town_2
patient_16403,town_2
patient_4575,town_2
patient_19109,town_2
patient_1891,town_2
patient_17196,town_2
patient_21861,town_2
patient_14372,town_2
patient_20473,town_2
patient_3182,town_2
patient_13145,town_2
patient_13422,town_2
patient_18438,town_2
patient_20006,town_2
patient_15305,town_2
patient_12787,town_2
patient_15272,town_2
patient_19293,town_2
patient_9120,town_2
patient_21836,town_2
patient_2743,town_2
patient_281,town_2
patient_13299,town_2
patient_19631,town_2
patient_7986,town_2
patient_16520,town_2
patient_17191,town_2
patient_16927,town_2
patient_1014,town_3
patient_344,town_3
patient_6090,town_3
patient_2993,town_3
patient_10992,town_3
patient_13968,town_3
patient_17867,town_3
patient_5246,town_3
patient_9524,town_3
patient_457,town_3
patient_8560,town_3
patient_4753,town_3
patient_21214,town_3
patient_14759,town_3
patient_9221,town_3
patient_11336,town_3
patient_3094,town_3
patient_10968,town_3
patient_14412,town_3
patient_829,town_3
patient_1250,town_3
patient_14564,town_3
patient_780,town_3
patient_1326,town_3
patient_8574,town_3
patient_4808,town_3
patient_6487,town_3
patient_10512,town_3
patient_7400,town_3
patient_10925,town_3
patient_1564,town_3
patient_22161,town_3
patient_12517,town_3
patient_9232,town_3
patient_7281,town_3
patient_11251,town_3
patient_11633,town_3
patient_12087,town_3
patient_2058,town_3
patient_13514,town_3
patient_5085,town_3
patient_20379,town_3
patient_16551,town_3
patient_4500,town_3
patient_17093,town_3
patient_14468,town_3
patient_12594,town_3
patient_18764,town_3
patient_18283,town_3
patient_7090,town_3
patient_9814,town_3
patient_2614,town_3
patient_18622,town_3
patient_7274,town_3
patient_11959,town_3
patient_9100,town_3
patient_640,town_3
patient_3272,town_3
patient_17798,town_3
patient_16969,town_3
patient_17962,town_3
patient_22284,town_3
patient_6816,town_3
patient_4658,town_3
patient_15953,town_3
patient_15054,town_3
patient_8610,town_3
patient_20574,town_3
patient_17526,town_3
patient_18597,town_3
patient_3973,town_3
patient_6821,town_3
patient_11736,town_3
patient_21139,town_3
patient_5835,town_3
patient_13062,town_3
patient_734,town_3
patient_18641,town_3
patient_19581,town_3
patient_9137,town_3
patient_19297,town_3
patient_11623,town_3
patient_7028,town_3
patient_6889,town_3
patient_13011,town_3
patient_4334,town_3
patient_6894,town_3
patient_17945,town_3
patient_21995,town_3
patient_13973,town_3
patient_15571,town_3
patient_7583,town_3
patient_17192,town_3
patient_4640,town_3
patient_5806,town_3
patient_9119,town_3
patient_9917,town_3
patient_15368,town_3
patient_12722,town_3
patient_19558,town_3
patient_5736,town_3
patient_15922,town_3
patient_17638,town_3
patient_2135,town_3
patient_5633,town_3
patient_185,town_3
patient_14867,town_3
patient_15757,town_3
patient_3168,town_3
patient_18272,town_3
patient_2276,town_3
patient_16999,town_3
patient_2005,town_3
patient_19240,town_3
patient_13577,town_3
patient_3975,town_3
patient_11696,town_3
patient_4700,town_3
patient_22538,town_3
patient_14019,town_3
patient_2152,town_3
patient_22618,town_3
patient_2644,town_3
patient_16101,town_3
patient_12691,town_3
patient_12017,town_3
patient_3824,town_3
patient_9950,town_3
patient_3321,town_3
patient_14928,town_3
patient_6080,town_3
patient_10735,town_3
patient_21295,town_3
patient_20519,town_3
patient_7723,town_3
patient_4531,town_3
patient_1908,town_3
patient_15974,town_3
patient_7027,town_3
patient_1759,town_3
patient_1349,town_3
patient_12646,town_3
patient_20374,town_3
patient_2195,town_3
patient_16896,town_3
patient_20605,town_3
patient_5140,town_3
patient_1128,town_3
patient_9172,town_3
patient_15823,town_3
patient_180,town_3
patient_16887,town_3
patient_21069,town_3
patient_15517,town_3
patient_528,town_3
patient_19572,town_3
patient_10731,town_3
patient_9301,town_3
patient_9991,town_3
patient_21989,town_3
patient_1302,town_3
patient_17324,town_3
patient_18524,town_3
patient_15453,town_3
patient_13200,town_3
patient_4229,town_3
patient_8018,town_3
patient_14649,town_3
patient_343,town_3
patient_12781,town_3
patient_17920,town_3
patient_11680,town_3
patient_1363,town_3
patient_15598,town_3
patient_11522,town_3
patient_19776,town_3
patient_6232,town_3
patient_6189,town_3
patient_7026,town_3
patient_10483,town_3
patient_4559,town_3
patient_20735,town_3
patient_20722,town_3
patient_20907,town_3
patient_5593,town_3
patient_170,town_3
patient_17750,town_3
patient_13744,town_3
patient_13090,town_3
patient_4166,town_3
patient_12708,town_3
patient_22482,town_3
patient_17845,town_3
patient_21528,town_3
patient_7709,town_3
patient_2582,town_3
patient_11029,town_3
patient_14397,town_3
patient_18959,town_3
patient_22374,town_3
patient_13963,town_3
patient_949,town_3
patient_1698,town_3
patient_19602,town_3
patient_1537,town_3
patient_19060,town_3
patient_12261,town_3
patient_4655,town_3
patient_19463,town_3
patient_17649,town_3
patient_2273,town_3
patient_9403,town_3
patient_15275,town_3
patient_18454,town_3
patient_15521,town_3
patient_1070,town_3
patient_10962,town_3
patient_16758,town_3
patient_21838,town_3
patient_22695,town_3
patient_5567,town_3
patient_2723,town_3
patient_7693,town_3
patient_13739,town_3
patient_13534,town_3
patient_8397,town_3
patient_1665,town_3
patient_19565,town_3
patient_6820,town_3
patient_2683,town_3
patient_8141,town_3
patient_13191,town_3
patient_3890,town_3
patient_1225,town_3
patient_4055,town_3
patient_9015,town_3
patient_21895,town_3
patient_18797,town_3
patient_2529,town_3
patient_13896,town_3
patient_2091,town_3
patient_11319,town_3
patient_8327,town_3
patient_10922,town_3
patient_10690,town_3
patient_4930,town_3
patient_10334,town_3
patient_19178,town_3
patient_9989,town_3
patient_1947,town_3
patient_11454,town_3
patient_21796,town_3
patient_1587,town_3
patient_11400,town_3
patient_19247,town_3
patient_17166,town_3
patient_1030,town_3
patient_8066,town_3
patient_10815,town_3
patient_8656,town_3
patient_22293,town_3
patient_14114,town_3
patient_6026,town_3
patient_2002,town_3
patient_17147,town_3
patient_17698,town_3
patient_17654,town_3
patient_6622,town_3
patient_11971,town_3
patient_7485,town_3
patient_11963,town_3
patient_17067,town_3
patient_505,town_3
patient_310,town_3
patient_9212,town_3
patient_318,town_3
patient_7109,town_3
patient_14408,town_3
patient_574,town_3
patient_11702,town_3
patient_5688,town_3
patient_10703,town_3
patient_19863,town_3
patient_21925,town_3
patient_18099,town_3
patient_10895,town_3
patient_3927,town_3
patient_7194,town_3
patient_3527,town_3
patient_3542,town_3
patient_21155,town_3
patient_19569,town_3
patient_1649,town_3
patient_13148,town_3
patient_2865,town_3
patient_12800,town_3
patient_4369,town_3
patient_20663,town_3
patient_16511,town_3
patient_535,town_3
patient_17120,town_3
patient_16324,town_3
patient_4102,town_3
patient_14746,town_3
patient_20155,town_3
patient_696,town_3
patient_8756,town_3
patient_13627,town_3
patient_20693,town_3
patient_21257,town_3
patient_21541,town_3
patient_3086,town_3
patient_20675,town_3
patient_15593,town_3
patient_19345,town_3
patient_22588,town_3
patient_17590,town_3
patient_19295,town_3
patient_17953,town_3
patient_7626,town_3
patient_14528,town_3
patient_9763,town_3
patient_14617,town_3
patient_9134,town_3
patient_21611,town_3
patient_11328,town_3
patient_17822,town_3
patient_17342,town_3
patient_4647,town_3
patient_16476,town_3
patient_21526,town_3
patient_3616,town_3
patient_5493,town_3
patient_14987,town_3
patient_17082,town_3
patient_6572,town_3
patient_12375,town_3
patient_6460,town_3
patient_1401,town_3
patient_8164,town_3
patient_21483,town_3
patient_3285,town_3
patient_22209,town_3
patient_20453,town_3
patient_797,town_3
patient_18122,town_3
patient_7530,town_3
patient_4129,town_3
patient_22373,town_3
patient_5017,town_3
patient_9070,town_3
patient_7645,town_3
patient_4631,town_3
patient_11914,town_3
patient_3544,town_3
patient_1513,town_3
patient_11957,town_3
patient_14157,town_3
patient_3225,town_3
patient_7606,town_3
patient_12109,town_3
patient_14103,town_3
patient_14312,town_4
patient_22460,town_4
patient_8027,town_4
patient_19758,town_4
patient_20080,town_4
patient_4291,town_4
patient_3266,town_4
patient_12992,town_4
patient_22617,town_4
patient_22020,town_4
patient_6343,town_4
patient_9159,town_4
patient_5294,town_4
patient_9651,town_4
patient_4663,town_4
patient_18938,town_4
patient_7302,town_4
patient_9707,town_4
patient_10111,town_4
patient_21348,town_4
patient_8705,town_4
patient_16944,town_4
patient_18509,town_4
patient_9818,town_4
patient_5098,town_4
patient_17428,town_4
patient_5074,town_4
patient_2827,town_4
patient_20412,town_4
patient_10915,town_4
patient_15520,town_4
patient_10980,town_4
patient_5190,town_4
patient_17943,town_4
patient_18400,town_4
patient_8619,town_4
patient_1168,town_4
patient_1130,town_4
patient_4473,town_4
patient_7652,town_4
patient_395,town_4
patient_10088,town_4
patient_9098,town_4
patient_922,town_4
patient_18601,town_4
patient_16954,town_4
patient_14846,town_4
patient_2942,town_4
patient_5540,town_4
patient_17918,town_4
patient_3305,town_4
patient_15444,town_4
patient_22063,town_4
patient_12789,town_4
patient_12514,town_4
patient_6804,town_4
patient_9064,town_4
patient_13595,town_4
patient_19531,town_4
patient_19803,town_4
patient_8350,town_4
patient_10176,town_4
patient_8725,town_4
patient_7195,town_4
patient_22531,town_4
patient_5470,town_4
patient_7045,town_4
patient_9631,town_4
patient_17757,town_4
patient_19335,town_4
patient_14295,town_4
patient_2242,town_4
patient_12839,town_4
patient_4479,town_4
patient_3462,town_4
patient_5124,town_4
patient_3584,town_4
patient_15438,town_4
patient_9140,town_4
patient_11004,town_4
patient_3830,town_4
patient_10237,town_4
patient_21983,town_4
patient_4401,town_4
patient_12369,town_4
patient_1045,town_4
patient_12102,town_4
patient_4860,town_4
patient_3234,town_4
patient_17971,town_4
patient_8935,town_4
patient_15021,town_4
patient_4005,town_4
patient_21536,town_4
patient_15182,town_4
patient_11367,town_4
patient_17433,town_4
patient_7384,town_4
patient_7107,town_4
patient_3541,town_4
patient_18055,town_4
patient_5651,town_4
patient_13524,town_4
patient_4648,town_4
patient_13305,town_4
patient_9004,town_4
patient_16704,town_4
patient_14503,town_4
patient_10348,town_4
patient_12205,town_4
patient_4471,town_4
patient_18895,town_4
patient_22602,town_4
patient_19824,town_4
patient_16603,town_4
patient_19324,town_4
patient_580,town_4
patient_5549,town_4
patient_4730,town_4
patient_4888,town_4
patient_9959,town_4
patient_14698,town_4
patient_17482,town_4
patient_4613,town_4
patient_15518,town_4
patient_5978,town_4
patient_11999,town_4
patient_8854,town_4
patient_16558,town_4
patient_10539,town_4
patient_20203,town_4
patient_17371,town_4
patient_9592,town_4
patient_20896,town_4
patient_442,town_4
patient_3655,town_4
patient_21676,town_4
patient_14004,town_4
patient_10913,town_4
patient_20844,town_4
patient_3808,town_4
patient_20345,town_4
patient_10189,town_4
patient_16902,town_4
patient_19969,town_4
patient_17872,town_4
patient_122,town_4
patient_21175,town_4
patient_14977,town_4
patient_21267,town_4
patient_13158,town_4
patient_11016,town_4
patient_13379,town_4
patient_14537,town_4
patient_15202,town_4
patient_8594,town_4
patient_5745,town_4
patient_2816,town_4
patient_5981,town_4
patient_22213,town_4
patient_14442,town_4
patient_12450,town_4
patient_18760,town_4
patient_3932,town_4
patient_6527,town_4
patient_7592,town_4
patient_6242,town_4
patient_13812,town_4
patient_16437,town_4
patient_15765,town_4
patient_6127,town_4
patient_3020,town_4
patient_371,town_4
patient_7081,town_4
patient_8468,town_4
patient_13741,town_4
patient_2646,town_4
patient_1137,town_4
patient_21452,town_4
patient_19487,town_4
patient_22458,town_4
patient_14892,town_4
patient_15264,town_4
patient_7822,town_4
patient_21105,town_4
patient_8759,town_4
patient_16654,town_4
patient_13403,town_4
patient_8714,town_4
patient_17706,town_4
patient_20589,town_4
patient_17861,town_4
patient_6801,town_4
patient_19336,town_4
patient_10101,town_4
patient_219,town_4
patient_1700,town_4
patient_7301,town_4
patient_20328,town_4
patient_7403,town_4
patient_6570,town_4
patient_17902,town_4
patient_15283,town_4
patient_16508,town_4
patient_17983,town_4
patient_1636,town_4
patient_18227,town_4
patient_6592,town_4
patient_17352,town_4
patient_11710,town_4
patient_3338,town_4
patient_1807,town_4
patient_4157,town_4
patient_16569,town_4
patient_2142,town_4
patient_8983,town_4
patient_7567,town_4
patient_20641,town_4
